gene	cluster
ENSG00000115524	1
ENSG00000115525	1
ENSG00000115590	2
ENSG00000115594	3
ENSG00000115602	4
ENSG00000115604	3
ENSG00000115756	4
ENSG00000115762	2
ENSG00000115828	2
ENSG00000115902	2
ENSG00000115919	3
ENSG00000115966	4
ENSG00000116031	3
ENSG00000116209	5
ENSG00000116260	5
ENSG00000116586	1
ENSG00000116604	3
ENSG00000116667	3
ENSG00000116679	3
ENSG00000116741	3
ENSG00000116774	2
ENSG00000116918	4
ENSG00000116990	2
ENSG00000117020	5
ENSG00000117036	3
ENSG00000117090	3
ENSG00000117091	3
ENSG00000117118	1
ENSG00000117139	3
ENSG00000117151	4
ENSG00000117266	5
ENSG00000117298	3
ENSG00000117335	5
ENSG00000117394	3
ENSG00000117395	1
ENSG00000117523	1
ENSG00000117586	3
ENSG00000117632	5
ENSG00000117643	1
ENSG00000117691	5
ENSG00000117724	1
ENSG00000117758	4
ENSG00000117862	4
ENSG00000117868	2
ENSG00000118160	5
ENSG00000118181	4
ENSG00000118363	2
ENSG00000118503	3
ENSG00000118508	2
ENSG00000118515	2
ENSG00000118557	1
ENSG00000118596	2
ENSG00000118705	2
ENSG00000118762	5
ENSG00000118785	2
ENSG00000118816	5
ENSG00000118971	2
ENSG00000118985	3
ENSG00000119048	4
ENSG00000119138	4
ENSG00000119314	4
ENSG00000119321	1
ENSG00000119335	2
ENSG00000119383	1
ENSG00000119397	1
ENSG00000119408	1
ENSG00000119414	4
ENSG00000119471	4
ENSG00000119508	3
ENSG00000119638	5
ENSG00000119655	2
ENSG00000119681	2
ENSG00000119725	1
ENSG00000119729	3
ENSG00000119778	1
ENSG00000119801	4
ENSG00000119899	4
ENSG00000119900	3
ENSG00000119906	1
ENSG00000119917	1
ENSG00000119922	1
ENSG00000120008	1
ENSG00000120063	3
ENSG00000120129	3
ENSG00000120519	1
ENSG00000120645	5
ENSG00000120694	3
ENSG00000120725	1
ENSG00000120727	4
ENSG00000120802	1
ENSG00000120875	3
ENSG00000120885	2
ENSG00000120899	5
ENSG00000120948	1
ENSG00000121064	5
ENSG00000121210	5
ENSG00000121281	1
ENSG00000121310	5
ENSG00000121316	5
ENSG00000121481	4
ENSG00000121579	4
ENSG00000121691	5
ENSG00000121749	4
ENSG00000121797	3
ENSG00000121807	2
ENSG00000121864	4
ENSG00000121964	4
ENSG00000121966	3
ENSG00000122025	2
ENSG00000122203	5
ENSG00000122254	2
ENSG00000122299	4
ENSG00000122378	1
ENSG00000122566	1
ENSG00000122591	4
ENSG00000122643	1
ENSG00000122705	1
ENSG00000122729	5
ENSG00000122862	3
ENSG00000122965	2
ENSG00000122986	5
ENSG00000123094	5
ENSG00000123104	1
ENSG00000123200	1
ENSG00000123329	1
ENSG00000123338	5
ENSG00000123342	3
ENSG00000123358	3
ENSG00000123360	5
ENSG00000123384	5
ENSG00000123562	4
ENSG00000123575	4
ENSG00000123595	4
ENSG00000123609	1
ENSG00000123636	1
ENSG00000123643	2
ENSG00000123689	3
ENSG00000123908	3
ENSG00000123983	2
ENSG00000124145	3
ENSG00000124151	2
ENSG00000124164	4
ENSG00000124172	1
ENSG00000124203	4
ENSG00000124216	3
ENSG00000124226	4
ENSG00000124313	5
ENSG00000124357	1
ENSG00000124383	1
ENSG00000124422	5
ENSG00000124491	2
ENSG00000124570	5
ENSG00000124575	1
ENSG00000124614	4
ENSG00000124731	5
ENSG00000124882	3
ENSG00000125124	5
ENSG00000125304	4
ENSG00000125356	1
ENSG00000125375	1
ENSG00000125430	3
ENSG00000125454	1
ENSG00000125538	3
ENSG00000125691	4
ENSG00000125733	3
ENSG00000125735	3
ENSG00000125740	3
ENSG00000125741	1
ENSG00000125810	3
ENSG00000125844	1
ENSG00000125971	4
ENSG00000126001	1
ENSG00000126067	2
ENSG00000126247	2
ENSG00000126709	1
ENSG00000126759	3
ENSG00000126767	3
ENSG00000126773	1
ENSG00000126790	1
ENSG00000126804	1
ENSG00000127022	2
ENSG00000127124	2
ENSG00000127314	4
