gene	cluster
ENSMUSG00000024896	1
ENSMUSG00000024899	1
ENSMUSG00000024911	1
ENSMUSG00000024914	1
ENSMUSG00000024944	1
ENSMUSG00000024955	1
ENSMUSG00000024962	1
ENSMUSG00000025044	1
ENSMUSG00000025085	1
ENSMUSG00000025103	1
ENSMUSG00000025137	1
ENSMUSG00000025151	1
ENSMUSG00000025204	1
ENSMUSG00000025260	1
ENSMUSG00000025279	1
ENSMUSG00000025283	1
ENSMUSG00000025289	1
ENSMUSG00000025290	1
ENSMUSG00000025351	1
ENSMUSG00000025362	1
ENSMUSG00000025371	1
ENSMUSG00000025372	1
ENSMUSG00000025374	1
ENSMUSG00000025466	1
ENSMUSG00000025499	1
ENSMUSG00000025508	1
ENSMUSG00000025510	1
ENSMUSG00000025511	1
ENSMUSG00000025577	1
ENSMUSG00000025630	1
ENSMUSG00000025647	1
ENSMUSG00000025648	1
ENSMUSG00000025764	1
ENSMUSG00000025791	1
ENSMUSG00000025794	1
ENSMUSG00000025854	1
ENSMUSG00000025875	1
ENSMUSG00000025894	1
ENSMUSG00000025967	1
ENSMUSG00000026003	1
ENSMUSG00000026032	1
ENSMUSG00000026087	1
ENSMUSG00000026088	1
ENSMUSG00000026095	1
ENSMUSG00000026111	1
ENSMUSG00000026131	1
ENSMUSG00000026150	1
ENSMUSG00000026159	1
ENSMUSG00000026248	1
ENSMUSG00000026278	1
ENSMUSG00000026303	1
ENSMUSG00000026307	1
ENSMUSG00000026335	1
ENSMUSG00000026358	1
ENSMUSG00000026365	1
ENSMUSG00000026385	1
ENSMUSG00000026471	1
ENSMUSG00000026478	1
ENSMUSG00000026511	1
ENSMUSG00000026519	1
ENSMUSG00000026641	1
ENSMUSG00000026656	1
ENSMUSG00000026675	1
ENSMUSG00000026822	1
ENSMUSG00000026849	1
ENSMUSG00000026853	1
ENSMUSG00000026893	1
ENSMUSG00000026928	1
ENSMUSG00000026938	1
ENSMUSG00000026939	1
ENSMUSG00000026956	1
ENSMUSG00000026986	1
ENSMUSG00000027175	1
ENSMUSG00000027199	1
ENSMUSG00000027282	1
ENSMUSG00000027351	1
ENSMUSG00000027422	1
ENSMUSG00000027447	1
ENSMUSG00000027514	1
ENSMUSG00000027540	1
ENSMUSG00000027566	1
ENSMUSG00000027569	1
ENSMUSG00000027605	1
ENSMUSG00000027613	1
ENSMUSG00000027646	1
ENSMUSG00000027673	1
ENSMUSG00000027937	1
ENSMUSG00000027953	1
ENSMUSG00000027955	1
ENSMUSG00000027962	1
ENSMUSG00000028010	1
ENSMUSG00000028062	1
ENSMUSG00000028070	1
ENSMUSG00000028076	1
ENSMUSG00000028081	1
ENSMUSG00000028082	1
ENSMUSG00000028102	1
ENSMUSG00000028108	1
ENSMUSG00000028111	1
ENSMUSG00000028156	1
ENSMUSG00000028161	1
ENSMUSG00000028234	1
ENSMUSG00000028245	1
ENSMUSG00000028278	1
ENSMUSG00000028300	1
ENSMUSG00000028329	1
ENSMUSG00000028367	1
ENSMUSG00000028413	1
ENSMUSG00000028416	1
ENSMUSG00000028439	1
ENSMUSG00000028478	1
ENSMUSG00000028495	1
ENSMUSG00000028517	1
ENSMUSG00000028639	1
ENSMUSG00000028643	1
