gene	cluster
ENSMUSG00000024660	2
ENSMUSG00000024791	2
ENSMUSG00000024795	2
ENSMUSG00000024974	2
ENSMUSG00000024989	2
ENSMUSG00000025001	2
ENSMUSG00000025135	2
ENSMUSG00000025144	2
ENSMUSG00000025358	2
ENSMUSG00000025925	2
ENSMUSG00000026039	2
ENSMUSG00000026064	2
ENSMUSG00000026355	2
ENSMUSG00000026622	2
ENSMUSG00000026683	2
ENSMUSG00000026753	2
ENSMUSG00000026779	2
ENSMUSG00000026955	2
ENSMUSG00000027306	2
ENSMUSG00000027326	2
ENSMUSG00000027330	2
ENSMUSG00000027331	2
ENSMUSG00000027339	2
ENSMUSG00000027353	2
ENSMUSG00000027469	2
ENSMUSG00000027490	2
ENSMUSG00000027496	2
ENSMUSG00000027509	2
ENSMUSG00000027635	2
ENSMUSG00000027641	2
ENSMUSG00000027654	2
ENSMUSG00000027699	2
ENSMUSG00000027715	2
ENSMUSG00000027883	2
ENSMUSG00000027959	2
ENSMUSG00000028044	2
ENSMUSG00000028066	2
ENSMUSG00000028212	2
ENSMUSG00000028282	2
ENSMUSG00000028312	2
ENSMUSG00000028551	2
ENSMUSG00000028678	2
ENSMUSG00000028693	2
ENSMUSG00000028790	2
ENSMUSG00000028851	2
ENSMUSG00000028873	2
ENSMUSG00000028896	2
ENSMUSG00000029147	2
ENSMUSG00000029253	2
ENSMUSG00000029283	2
ENSMUSG00000029394	2
ENSMUSG00000029414	2
ENSMUSG00000029430	2
ENSMUSG00000029472	2
ENSMUSG00000029521	2
ENSMUSG00000029730	2
ENSMUSG00000029910	2
ENSMUSG00000030079	2
ENSMUSG00000030538	2
ENSMUSG00000030649	2
ENSMUSG00000030744	2
ENSMUSG00000030752	2
ENSMUSG00000030867	2
ENSMUSG00000031004	2
ENSMUSG00000031016	2
ENSMUSG00000031723	2
ENSMUSG00000031971	2
ENSMUSG00000032113	2
ENSMUSG00000032218	2
ENSMUSG00000032254	2
ENSMUSG00000032264	2
ENSMUSG00000032397	2
ENSMUSG00000032477	2
ENSMUSG00000032534	2
ENSMUSG00000032562	2
ENSMUSG00000032782	2
ENSMUSG00000033088	2
ENSMUSG00000033502	2
ENSMUSG00000033712	2
ENSMUSG00000033751	2
ENSMUSG00000033952	2
ENSMUSG00000034023	2
ENSMUSG00000034165	2
ENSMUSG00000034349	2
ENSMUSG00000034906	2
ENSMUSG00000035024	2
ENSMUSG00000035310	2
ENSMUSG00000035351	2
ENSMUSG00000035439	2
ENSMUSG00000035683	2
ENSMUSG00000036202	2
ENSMUSG00000036672	2
ENSMUSG00000036777	2
ENSMUSG00000036977	2
ENSMUSG00000037628	2
ENSMUSG00000037725	2
ENSMUSG00000038252	2
ENSMUSG00000038416	2
ENSMUSG00000038482	2
ENSMUSG00000038822	2
ENSMUSG00000038943	2
ENSMUSG00000039128	2
ENSMUSG00000039130	2
ENSMUSG00000039187	2
ENSMUSG00000039231	2
ENSMUSG00000039660	2
ENSMUSG00000039994	2
ENSMUSG00000040034	2
ENSMUSG00000040084	2
ENSMUSG00000040385	2
ENSMUSG00000040945	2
ENSMUSG00000041147	2
ENSMUSG00000041431	2
ENSMUSG00000041840	2
ENSMUSG00000041859	2
ENSMUSG00000042029	2
ENSMUSG00000042275	2
ENSMUSG00000042489	2
ENSMUSG00000044201	2
ENSMUSG00000044502	2
ENSMUSG00000045969	2
ENSMUSG00000046179	2
ENSMUSG00000046591	2
ENSMUSG00000047534	2
ENSMUSG00000048170	2
ENSMUSG00000048416	2
ENSMUSG00000048922	2
ENSMUSG00000049932	2
ENSMUSG00000050379	2
ENSMUSG00000051220	2
ENSMUSG00000051378	2
ENSMUSG00000056305	2
ENSMUSG00000057130	2
ENSMUSG00000057236	2
ENSMUSG00000059248	2
ENSMUSG00000059586	2
ENSMUSG00000060860	2
ENSMUSG00000062248	2
ENSMUSG00000063358	2
ENSMUSG00000065954	2
ENSMUSG00000066979	2
ENSMUSG00000068744	2
ENSMUSG00000069089	2
ENSMUSG00000069631	2
ENSMUSG00000069910	2
ENSMUSG00000070348	2
ENSMUSG00000071533	2
ENSMUSG00000072082	2
ENSMUSG00000072980	2
ENSMUSG00000073705	2
ENSMUSG00000074476	2
ENSMUSG00000075266	2
ENSMUSG00000078652	2
ENSMUSG00000079553	2
ENSMUSG00000079614	2
ENSMUSG00000091337	2
ENSMUSG00000096472	2
ENSMUSG00000000184	3
ENSMUSG00000000579	3
ENSMUSG00000002546	3
ENSMUSG00000003068	3
ENSMUSG00000004085	3
ENSMUSG00000004591	3
ENSMUSG00000005102	3
ENSMUSG00000006005	3
ENSMUSG00000010067	3
ENSMUSG00000010342	3
ENSMUSG00000011960	3
ENSMUSG00000014956	3
ENSMUSG00000016128	3
ENSMUSG00000018707	3
ENSMUSG00000019873	3
ENSMUSG00000019923	3
ENSMUSG00000020263	3
ENSMUSG00000020486	3
ENSMUSG00000020694	3
ENSMUSG00000020745	3
ENSMUSG00000020752	3
ENSMUSG00000020782	3
ENSMUSG00000021365	3
ENSMUSG00000021866	3
ENSMUSG00000021959	3
ENSMUSG00000022105	3
ENSMUSG00000022141	3
ENSMUSG00000022772	3
ENSMUSG00000022961	3
ENSMUSG00000023067	3
ENSMUSG00000024073	3
ENSMUSG00000024137	3
ENSMUSG00000024293	3
ENSMUSG00000024943	3
ENSMUSG00000025316	3
ENSMUSG00000025408	3
ENSMUSG00000025616	3
ENSMUSG00000025862	3
ENSMUSG00000025907	3
ENSMUSG00000026349	3
ENSMUSG00000026361	3
ENSMUSG00000026491	3
ENSMUSG00000026927	3
ENSMUSG00000027285	3
ENSMUSG00000027479	3
ENSMUSG00000027510	3
ENSMUSG00000028906	3
ENSMUSG00000028926	3
ENSMUSG00000029004	3
ENSMUSG00000029062	3
ENSMUSG00000029127	3
ENSMUSG00000029176	3
ENSMUSG00000029554	3
ENSMUSG00000029684	3
ENSMUSG00000030061	3
ENSMUSG00000030397	3
ENSMUSG00000030498	3
ENSMUSG00000031309	3
ENSMUSG00000031314	3
ENSMUSG00000031386	3
ENSMUSG00000031478	3
ENSMUSG00000031529	3
ENSMUSG00000031644	3
ENSMUSG00000031666	3
ENSMUSG00000031729	3
ENSMUSG00000031858	3
ENSMUSG00000031865	3
ENSMUSG00000031878	3
ENSMUSG00000032010	3
