gene	cluster
ENSMUSG00000031925	1
ENSMUSG00000032436	1
ENSMUSG00000032812	1
ENSMUSG00000032826	1
ENSMUSG00000033066	1
ENSMUSG00000033082	1
ENSMUSG00000033192	1
ENSMUSG00000033213	1
ENSMUSG00000033287	1
ENSMUSG00000033377	1
ENSMUSG00000033565	1
ENSMUSG00000033777	1
ENSMUSG00000034394	1
ENSMUSG00000034485	1
ENSMUSG00000034557	1
ENSMUSG00000034593	1
ENSMUSG00000034641	1
ENSMUSG00000034652	1
ENSMUSG00000034795	1
ENSMUSG00000034917	1
ENSMUSG00000035168	1
ENSMUSG00000035208	1
ENSMUSG00000035413	1
ENSMUSG00000035441	1
ENSMUSG00000035725	1
ENSMUSG00000035934	1
ENSMUSG00000036026	1
ENSMUSG00000036086	1
ENSMUSG00000036136	1
ENSMUSG00000036402	1
ENSMUSG00000036545	1
ENSMUSG00000036661	1
ENSMUSG00000037095	1
ENSMUSG00000037492	1
ENSMUSG00000037706	1
ENSMUSG00000038173	1
ENSMUSG00000038179	1
ENSMUSG00000038366	1
ENSMUSG00000038517	1
ENSMUSG00000038712	1
ENSMUSG00000039062	1
ENSMUSG00000039607	1
ENSMUSG00000040606	1
ENSMUSG00000040613	1
ENSMUSG00000040722	1
ENSMUSG00000041075	1
ENSMUSG00000041202	1
ENSMUSG00000041642	1
ENSMUSG00000041729	1
ENSMUSG00000042349	1
ENSMUSG00000042439	1
ENSMUSG00000042485	1
ENSMUSG00000043003	1
ENSMUSG00000043822	1
ENSMUSG00000044303	1
ENSMUSG00000044468	1
ENSMUSG00000044646	1
ENSMUSG00000046727	1
ENSMUSG00000047250	1
ENSMUSG00000047798	1
ENSMUSG00000048442	1
ENSMUSG00000048677	1
ENSMUSG00000048826	1
ENSMUSG00000049580	1
ENSMUSG00000049723	1
ENSMUSG00000050530	1
ENSMUSG00000051043	1
ENSMUSG00000052062	1
ENSMUSG00000052477	1
ENSMUSG00000053219	1
ENSMUSG00000054863	1
ENSMUSG00000055407	1
ENSMUSG00000055555	1
ENSMUSG00000056054	1
ENSMUSG00000056296	1
ENSMUSG00000056529	1
ENSMUSG00000056952	1
ENSMUSG00000058317	1
ENSMUSG00000058435	1
ENSMUSG00000060477	1
ENSMUSG00000061132	1
ENSMUSG00000063193	1
ENSMUSG00000067149	1
ENSMUSG00000067369	1
ENSMUSG00000069792	1
ENSMUSG00000070034	1
ENSMUSG00000070056	1
ENSMUSG00000070407	1
ENSMUSG00000070427	1
ENSMUSG00000070803	1
ENSMUSG00000073418	1
ENSMUSG00000073555	1
ENSMUSG00000074272	1
ENSMUSG00000074604	1
ENSMUSG00000074622	1
ENSMUSG00000075307	1
ENSMUSG00000076569	1
ENSMUSG00000076609	1
ENSMUSG00000076617	1
ENSMUSG00000079190	1
ENSMUSG00000079808	1
ENSMUSG00000089672	1
ENSMUSG00000090069	1
ENSMUSG00000090176	1
ENSMUSG00000092618	1
ENSMUSG00000094006	1
